id,activity_name,location,category,price
1,Zoovu,Rancanyenang,Local,0
2,Yakijo,Gaide,Minor,100
3,Yadel,Jomboy,Local,100
4,Lajo,‘Ajlūn,Major,100
5,Realblab,Starominskaya,Minor,100
6,Wordify,Bombu,Major,100
7,Feedmix,Ollachea,Local,100
8,Fatz,Nerokoúros,Major,0
9,Gigabox,Zhixia,Minor,20
10,Brainsphere,Jefferson City,Minor,20
11,Dabshots,Xinjiezhen,Local,100
12,Livetube,Portland,Minor,20
13,Demivee,Hat Yai,Minor,0
14,Skajo,Gayamdesa,Major,100
15,Zazio,Karítsa,Minor,0
16,Cogilith,Kroya,Local,100
17,Realfire,Bayshint,Minor,100
18,Viva,Cileueur,Major,0
19,Meevee,Quibdó,Major,0
20,Yacero,Chaman,Major,100
21,Skidoo,Bourges,Local,100
22,Fivebridge,Tigaherang,Major,0
23,Gigabox,Hutou,Minor,100
24,Devify,Zhantang,Minor,20
25,BlogXS,Presidente Bernardes,Local,0
26,Jatri,Xinminxiang,Minor,20
27,Tagpad,Peabiru,Local,0
28,Photobug,Tianzhou,Major,100
29,Feedspan,Segong,Major,0
30,Meemm,Sidomekar,Local,100
